,Отзыв
0,"5 из 5🖤 Пил кофе и в Риме, и в Париже, но вкуснее, чем капуч на фундучном молоке с фирменными сливками Джинжу, не пробовал ничего! Десерты тоже очень необычные. Ребята - бариста большие молодцы! Что можно улучшить? Маловато места, с посадкой можно что-то придумать?"
1,"Интересное солнечное место по пути. Желтенькое. Люблю все новое и интересное, решила испробовать и испить кофе. Капучино восторг. Вкусный ароматный бразильский и бодрящий. Самое ценное персонал, внимательный, отзывчивый и тонко чувствующий. Спасибо за Ваш труд."
2,"Всё классно: красиво, вкусно и недорого, завтраки топовые - всё просто и со вкусом. Но до чего противные бариста! Одна хамка-хамка с наушником в ухе, ну такая вся не довольная, людей за людей не считает, ко всем одинаково плохо относится. Я очень переживала, что она мне в кофе плюнет от своей несчастной жизни, хотя я с ней корректно разговаривала, но всё обошлось, вроде не плюнула. Вторая чуть попроще, уже так сильно не хамит, её можно приструнить, после жёсткого ответа начинает либизить, зачем тогда хамить? Тоже ещё та штучка, элементарно может не поздароваться, и по внешнему виду замечания, волосы мыть надо перед работой, а не так, что грязные сальные пакли свисают с головы. Толи дело повар - такая приятная и добрая женщина, и готовит вкусно!"
3,"Хорошее кафе! Выбор большой и шаверма и сендвичи и эклеры, кофе прекрасный, обстановка уютная, персонал вежливый, все чисто . Часто захожу и рекомендую!!!!"
4,"Милое и уютное заведение. Тепло, светло и вкусно. Парковки нет, но меня не смущает, так как рядом офис. Персонал отличный! Респект и салют вам, ребята!"
5,"Классное место с завтраками рядом с моим домом. Кухня готовит очень быстро, отзывчивые бариста всегда посоветуют что нибудь вкусненькое❤️"
6,"Великолепный качественный кофе, как эспрессо так и латте на растительном. Крайне приветливые и доброжелательные бариста. Советую зайти, будете приятно удивлены"
7,"Зашли 4 марта в эту кофейню. Отличное новое место. Девушки баристы Мария и Лена очень общительные, посоветовали и приготовили отличный кофе) Попробовали брускетты с брусничным вареньем и карамелизированным персиком: очень понравилось, советую)))"
8,Лучшая кофейня в городе. Вкусный кофе и невероятная атмосфера 💜
9,"Частый гость в данной кофейне. Кофе пробую здесь разный и всегда вкусный! Прекрасные девушки всегда спросят о предпочтениях и нужно ли что-то добавить в напиток. Разнообразный выбор сиропов и добавок, всегда какие-то новинки. Рекомендую"
